,0,1
0,[14],"F. A. Vittoria, G. K. Kallon, D. Basta, P . C. Diemoz, I. K. Robinson, A. Olivo, and M. Endrizzi, 'Beam tracking approach for single-shot retrieval of absorption, refraction, and dark-field signals with laboratory x-ray sources,' Applied Physics Letters , vol. 106, no. 22, p. 224102, 2015."
1,[15],"I. Zanette, T. Zhou, A. Burvall, U. Lundstrm, D. H. Larsson, M. Zdora, P . Thibault, F . Pfeiffer, and H. M. o Hertz, 'Speckle-based x-ray phase-contrast and dark-field imaging with a laboratory source,' Physical review letters , vol. 112, no. 25, p. 253903, 2014."
2,[16],"L. Qu' enot, H. Roug' e-Labriet, S. Bohic, S. Berujon, and E. Brun, 'Implicit tracking approach for x-ray phase-contrast imaging with a random mask and a conventional system,' Optica , vol. 8, no. 11, pp. 1412- 1415, 2021."
3,[17],"T. Weber, F. Bayer, W. Haas, G. Pelzer, J. Rieger, A. Ritter, L. Wucherer, J. M. Braun, J. Durst, T. Michel, et al. , 'Investigation of the signature of lung tissue in x-ray grating-based phase-contrast imaging,' arXiv preprint arXiv:1212.5031 , 2012."
4,[18],"A. Velroyen, A. Yaroshenko, D. Hahn, A. Fehringer, A. Tapfer, M. Muller, P . Nol, B. Pauwels, A. Sasov, e A. Yildirim, et al. , 'Grating-based x-ray dark-field computed tomography of living mice,' EBioMedicine , vol. 2, no. 10, pp. 1500-1506, 2015."
5,[19],"R. P . Murrie, F . Werdiger, M. Donnelley, Y .-w. Lin, R. P . Carnibella, C. R. Samarage, I. Pinar, M. Preissner, J. Wang, J. Li, et al. , 'Real-time in vivo imaging of regional lung function in a mouse model of cystic fibrosis on a laboratory x-ray source,' Scientific reports , vol. 10, no. 1, p. 447, 2020."
6,[20],"L. Massimi, T. Suaris, C. K. Hagen, M. Endrizzi, P . R. Munro, G. Havariyoun, P . Hawker, B. Smit, A. Astolfo, O. J. Larkin, et al. , 'Detection of involved margins in breast specimens with x-ray phase-contrast computed tomography,' Scientific reports , vol. 11, no. 1, pp. 1-9, 2021."
7,[21],"L. Massimi, T. Suaris, C. K. Hagen, M. Endrizzi, P . R. Munro, G. Havariyoun, P . S. Hawker, B. Smit, A. Astolfo, O. J. Larkin, et al. , 'Volumetric high-resolution x-ray phase-contrast virtual histology of breast specimens with a compact laboratory system,' IEEE transactions on medical imaging , vol. 41, no. 5, pp. 1188-1195, 2021."
8,[22],"M. Willner, J. Herzen, S. Grandl, S. Auweter, D. Mayr, A. Hipp, M. Chabior, A. Sarapata, K. Achterhold, I. Zanette, et al. , 'Quantitative breast tissue characterization using grating-based x-ray phase-contrast imaging,' Physics in Medicine & Biology , vol. 59, no. 7, p. 1557, 2014."
9,[23],"S. Savvidis, M. F . Gerli, M. Pellegrini, L. Massimi, C. K. Hagen, M. Endrizzi, A. Atzeni, O. K. Ogunbiyi, M. Turmaine, E. S. Smith, et al. , 'Monitoring tissue engineered constructs and protocols with laboratory- based x-ray phase contrast tomography,' Acta Biomaterialia , vol. 141, pp. 290-299, 2022."
10,[24],"M. Topperwien, M. Krenkel, D. Vincenz, F. Stober, A. M. Oelschlegel, J. Goldschmidt, and T. Salditt, 'Three-dimensional mouse brain cytoarchitecture revealed by laboratory-based x-ray phase-contrast to- mography,' Scientific reports , vol. 7, no. 1, p. 42847, 2017."
11,[25],"A. Tapfer, M. Bech, A. Velroyen, J. Meiser, J. Mohr, M. Walter, J. Schulz, B. Pauwels, P . Bruyndonckx, X. Liu, et al. , 'Experimental results from a preclinical x-ray phase-contrast ct scanner,' Proceedings of the National Academy of Sciences , vol. 109, no. 39, pp. 15691-15696, 2012."
12,[26],"D. Shoukroun, L. Massimi, F. Iacoviello, M. Endrizzi, D. Bate, A. Olivo, and P . Fromme, 'Enhanced com- posite plate impact damage detection and characterisation using x-ray refraction and scattering contrast combined with ultrasonic imaging,' Composites Part B: Engineering , vol. 181, p. 107579, 2020."
13,[27],"C. Gusenbauer, M. Reiter, B. Plank, D. Salaberger, S. Senck, and J. Kastner, 'Porosity determination of carbon and glass fibre reinforced polymers using phase-contrast imaging,' Journal of Nondestructive Evaluation , vol. 38, pp. 1-10, 2019."
14,[28],"Y. Kawata, K. Kageyama, N. Niki, K. Umetani, K. Yada, H. Ohamatsu, N. Moriyama, and H. Itoh, 'Mi- crostructural analysis of secondary pulmonary lobule imaged by synchrotron radiation micro ct using offset scan mode,' in Medical Imaging 2010: Biomedical Applications in Molecular, Structural, and Functional Imaging , vol. 7626, pp. 296-304, SPIE, 2010."
15,[29],"C. Walsh, P . Tafforeau, W. Wagner, D. Jafree, A. Bellier, C. Werlein, M. Kuhnel, E. Boller, S. Walker- Samuel, J. Robertus, et al. , 'Imaging intact human organs with local resolution of cellular structures using hierarchical phase-contrast tomography,' Nature methods , vol. 18, no. 12, pp. 1532-1541, 2021."
